sentence,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",5.0,5.0,5.0,5.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.0
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",5.0,5.0,5.0,5.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.0
"De leitura muito fácil, é um livro acessível aos mais jovens.",3.0,3.0,3.0,3.0,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",3.0,3.0,3.0,3.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",2.0,2.0,2.0,2.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",7.0,7.0,7.0,7.0,0.1489361702127659,0.1489361702127659,0.1489361702127659,0.1489361702127659,0.0
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",4.0,4.0,4.0,4.0,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0
Indicado para crianças e pré-adolescentes!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",1.0,1.0,1.0,1.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0
Ele é um amigo muito querido e respeitado pela família Woodhouse,4.0,4.0,4.0,4.0,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0
"A leitura é curta e simples, apesar de ter uma crítica enorme por entre as linhas.",2.0,2.0,2.0,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",5.0,5.0,5.0,5.0,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.0
Muidinga e Tuahir servem de voz condutora ligando os muitos fios fabulários num eixo comum.,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,0.0
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",1.0,1.0,1.0,1.0,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,0.0
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",4.0,4.0,4.0,4.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0
"E nessas história a quantidade de temas é gigantesca: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,2.0,2.0,2.0,2.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",4.0,4.0,4.0,4.0,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.0
O livro também aborda a superpopulação como um problema de saúde pública.,3.0,3.0,3.0,3.0,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0
A capa contém tons acinzentados com a imagem de Dante e possui dois gráficos.,1.0,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0
"O livro foi adaptado para o cinema, mas com alterações, como sempre.",1.0,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0
"O conto se passa no interior de Minas, existindo farta nomeação de lugares e regiões.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Apesar dos neologismos, que podem tornar a leitura um complexa, ele busca a alma dos sertanejos e dos moradores das regiões rurais.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O Partido utiliza das seguintes ferramentas para controlar a população: a teletela, uma fusão de televisão, câmera e escuta para espionagem.",1.0,1.0,1.0,1.0,0.04,0.04,0.04,0.04,0.0
"Ler 1984 é um ato de legítima defesa, onde a cada página aprendemos como as engrenagens realmente funcionam na história política da humanidade.",2.0,2.0,2.0,2.0,0.08,0.08,0.08,0.08,0.0
"Vivendo em uma sociedade distópica, Winston, o herói da história, vive uma vida de medo e sofrimento.",2.0,2.0,2.0,2.0,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0
"Tudo é controlado minuciosamente pelo partido e tudo é vigiado pelo grande irmão, que é o único salvador e pessoa chave da ideologia.",3.0,3.0,3.0,3.0,0.12,0.12,0.12,0.12,0.0
"Eles enfrentaram os mistérios mais sinistros dos últimos sessenta anos, sempre em busca da verdade.",1.0,1.0,1.0,1.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0
"Levanta algumas questões filosóficas mas não se aprofunda muito, deixa pra o leitor refletir depois.",1.0,1.0,1.0,1.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0
Após uma guerra nuclear poucos seres humanos permaneceram na Terra.,1.0,1.0,1.0,1.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
Boa parte da população agora vive em Marte junto a androides contruídos para trabalhar em grandes explorações espaciais.,2.0,2.0,2.0,2.0,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.0
Para suprir necessidades de afeto foram criadas versões mecânicas dos bichinhos de estimação.,2.0,2.0,2.0,2.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0
"Deckard, entretanto, não tem condições financeiras para isso e por isso continua preso à Terra e se torna um caçador de androides.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ao mesmo tempo pode-se perceber toda a crueldade que a Segunda Guerra Mundial espalhava, dividindo as pessoas entre o medo, a submissão e a sede de justiça.",3.0,3.0,3.0,3.0,0.1,0.1,0.1,0.1,0.0
Bruno não suspeita que esse menino é judeu e está trancado naquele terreno com seu povo.,1.0,1.0,1.0,1.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0
"Bruno não conta sobre o novo amigo para sua família e, à medida que os dias passam, a amizade secreta entre os dois cresce.",2.0,2.0,2.0,2.0,0.074074074074074,0.074074074074074,0.074074074074074,0.074074074074074,0.0
"Bruno observa por dias a cerca, e muitas perguntas se formam, ele não entende porque todos usam pijama listrado.",1.0,1.0,1.0,1.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0
"Por conta do novo cargo do pai, a família acaba tendo que se mudar.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A nova casa não agrada o menino; fica longe de Berlim e é um local muito isolado, repleto de soldados trabalhando.",3.0,3.0,3.0,3.0,0.125,0.125,0.125,0.125,0.0
"A narrativa é feita em terceira pessoa, porém pelos olhos de Bruno, por isso toda a simplicidade e inocência.",2.0,2.0,2.0,2.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
Ele confunde o nome do local de sua nova residência e entende de maneira errônea o título de Führer.,1.0,1.0,1.0,1.0,0.05,0.05,0.05,0.05,0.0
"E essa inocência expõe ainda mais tudo aquilo que os nazistas fizeram de ruim, deixa tudo mais evidente.",2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.0
"Norman é o racional, é quem limpa a sujeira e os protege das consequências dos atos da mãe.",1.0,1.0,1.0,1.0,0.05,0.05,0.05,0.05,0.0
"Quando ela está no meio da estrada a noite, começa um temporal e sua única opção é parar no motel mais próximo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mas chegando lá, ela não está e ele também não tem nenhuma notícia.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Então Lily e Sam se juntam com um detetive particular e vão em busca de Mary.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Norman Bates vive sozinho, tomando conta do Motel Bates numa estrada agora abandonada num local isolado.",1.0,1.0,1.0,1.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0
"Dado o sumiço de Mary, o roubo é notado e muitas pessoas estão interessadas em encontrá-la.",1.0,1.0,1.0,1.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0
"Um dia, Mary é encarregada pelo chefe de fazer um depósito no banco de uma grande quantidade de dinheiro.",1.0,1.0,1.0,1.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0
Mas ela tem uma atitude impulsiva e foge com o dinheiro.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bates se dedica apenas a cuidar do motel da família, onde sofreu uma grande queda de clientes desde que uma nova rodovia foi criada.",6.0,6.0,6.0,6.0,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0
O livro conta a história de cinco homens que estão numa taverna bebendo e contando histórias.,2.0,2.0,2.0,2.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.0
"As cinco histórias possuem traços em comum, assim como os seus narradores.",1.0,1.0,1.0,1.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0
"Ele se apaixona por uma espanhola chamada Ângela, que mata o próprio marido e a própria filha para ficar com Bertram.",1.0,1.0,1.0,1.0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0
"Os dois ficam juntos, mas depois de um tempo ela parte e ele vai para a Itália, viver aventuras no mar.",1.0,1.0,1.0,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0
Ele conta que era aprendiz de um pintor.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A edição que li, tem 96 páginas e tem uma linguagem carregada do rebuscamento do período.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Na narrativa é possível identificar a comparação entre campo e cidade, comum nas histórias do autor, assim como a relação entre a elite e a classe trabalhadora.",1.0,1.0,1.0,1.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0
"É uma importante obra que marca a terceira fase de Queirós, mais pós-realista.",1.0,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0
"Mas o núcleo da ação se desenvolve no final do século, sendo, portanto, contemporânea à publicação da obra.",1.0,1.0,1.0,1.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0
"Ambos os personagens principais passam por muitas mudanças ao longo do enredo e tem suas ideologias/opiniões postas à prova e, por vezes, modificadas.",1.0,1.0,1.0,1.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0
"O texto reforça que uma das maiores capacidades do ser humano, é a de poder estar errado, de errar, e depois, a de poder corrigir ou permanecer errado.",7.0,7.0,7.0,7.0,0.2121212121212121,0.2121212121212121,0.2121212121212121,0.2121212121212121,0.0
"Os leitores encontrarão muitos pontos em comum com religiões ou filosofias, especialmente orientais, se já tiverem tido contato.",1.0,1.0,1.0,1.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0
"Tem capa dura, as laterias das folhas em vermelho, folhas amareladas, notas sobre as fontes, curiosidades e muitas imagens.",1.0,1.0,1.0,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0
"Um livro com muitas curiosidades sobre a morte, e como ela ""vira pó"" para aquele que são cremados.",2.0,2.0,2.0,2.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
"Os pitiguaras, que vivem na costa cearense, são inimigos naturais dos tabajaras, que vivem mais para o interior.",2.0,2.0,2.0,2.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0
O livro trata da relação entre as novidades e modas das grandes cidades (no livro representadas por Paris) e os prazeres simples da vida no campo (as serras de Portugal).,5.0,5.0,5.0,5.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0
"O conto de Aia foi escrito pela canadense Margaret Atwood em 1985, mas voltou a ser um dos mais vendidos devido a série The Handmaid's Tale, que foi baseada no livro.",1.0,1.0,1.0,1.0,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0
"As mudanças são bruscas e as mulheres são as mais prejudicadas pois perderam os direitos de trabalhar, de serem alfabetizadas, de votar e praticamente de serem livres.",4.0,4.0,4.0,4.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0
"E a última casta é a das Aias, que são mulheres de vermelho, em idade fértil, usadas exclusivamente para procriar.",2.0,2.0,2.0,2.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0
"Isso porque devido a questões desconhecidas, muitas pessoas se tornaram inférteis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"E as mulheres que têm mais chances de engravidar são obrigadas a terem relações sexuais com os comandantes e quando dão a luz, são obrigadas a deixarem seus filhos.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A história é narrada através de uma Aia, que conta desde sua vida antes do golpe, quando ainda vivia com seu marido e filha, sobre o tempo que passou no Centro Vermelho, onde foi treinada para a vida de Aia.",1.0,1.0,1.0,1.0,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0
Até o seu cotidiano na casa do Comandante onde começa a descobrir que nem tudo é como se imagina.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Se trata de uma distopia, um futuro não muito distante, onde tudo muda da noite pro dia e as mulheres são as principais vítimas.",4.0,4.0,4.0,4.0,0.1481481481481481,0.1481481481481481,0.1481481481481481,0.1481481481481481,0.0
"Offred um dia foi casada com Luke, com quem teve uma filha, Hanna – os quais ela não faz ideia se estão vivos ou não.",1.0,1.0,1.0,1.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0
A região de Gilead é tomada por uma ditadura patriarcal fortemente fomentada por um aparato cristão distorcido,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Regida por versões exageradas e distorcidas do Velho Testamento, a sociedade está agora dividia em castas masculinas e femininas.",3.0,3.0,3.0,3.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0
"Em 1985 o autor apresenta a vida ""atual"" dos antigos amigos do grupo de Bill Denbrough, chamado Clube dos Otários.",1.0,1.0,1.0,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0
Zobrist um gênio cientista a frente do seu tempo cria um vírus que promete acabar com a superpopulação da Terra que em breve irá entrar em colapso.,3.0,3.0,3.0,3.0,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0
A leitura era realizada nos intervalos do trabalho e atividades diárias fora de casa.,1.0,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0
Mais uma vez Robert Langdon se viu na iminência de ter que resolver enigmas e mensagens para ajudar a encontrar algo que poderia afetar toda a humanidade.,1.0,1.0,1.0,1.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0
"A história começa com o renomado professor universitário de simbologia da Harvard, Robert Langdon acordando dentro do hospital, um pouco desorientado e com um ferimento na cabeça causado por um tiro de raspão na parte de trás da nuca.",1.0,1.0,1.0,1.0,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0
"Ao sentar na cama e observar pela janela do quarto, Robert percebeu que não estava em Massachusetts e sim, em Florença.",1.0,1.0,1.0,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0
"Não lembrança de nada das últimas trinta e seis horas, não tem a menor idéia de como saiu dos Estados Unidos e chegou até a Itália e porque estava numa cama de hospital.",1.0,1.0,1.0,1.0,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0
Ferido e sem saber o que fazer Robert consegue fugir do hospital com ajuda da Dra. Brooks.,3.0,3.0,3.0,3.0,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.0
Esse objeto era tão importante que associava Robert ao trabalho de um cientista brilhante que afirmava que a humanidade estava em risco devido ao crescimento celerado da população.,3.0,3.0,3.0,3.0,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.0
"A teoria do cientista é extremamente radical, condenando a Organização Mundial da Saúde e os governantes mundiais, por estarem ignorando o alerta que a natureza está mostrando e a super população mundial consumindo mais do que o normal.",4.0,4.0,4.0,4.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0
A hora e vez de Augusto Matraga aponta para a tendência criada por Guimarães Rosa do regionalismo universalizante.,1.0,1.0,1.0,1.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0
"O tempo da narrativa está mais voltado ao psicológico, ou seja, indeterminado.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O espaço Minas Gerais, mais especificamente o Norte de Minas, destacando-se nomes de vilarejos e lugares do sertão.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fugindo da seca, vivem da exploração da terra e da exploração do patrão.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Diante das dificuldades da vida, o simples fato de não saber ler e nem contar, impõem o jugo da impotência.",3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0
"Os personagens como Sinha Vitória(mãe), Fabiano(pai), Menino mais velho, Menino mais novo (filhos) e a Baleia (cachorra) são uma família que vivem na seca do Nordeste",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"É uma obra com grande significado sociológico, pois mostra a coisificação das pessoas. Vidas Secas é uma denúncia social.",1.0,1.0,1.0,1.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0
Foi uma obra muito importante para a segunda fase do modernismo por ser uma literatura regionalista com grande teor político e psicológico.,3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0
"Em Vidas Secas, o autor mostra a família de Fabiano migrando pela necessidade de sobrevivência, saindo de sua casa antes do dia amanhecer, fugindo das dívidas, da seca e da miséria.",2.0,2.0,2.0,2.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0
A falta de instrução das pessoas e a dificuldade que enfrentam ao se relacionar até mesmo uns com os outros pela falta de vocabulário faz o livro ter diálogos curtos e simples.,5.0,5.0,5.0,5.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.0
"1984 apresenta uma distopia onde o mundo fora dividido em 3 grandes estados: a Oceania, a Lestasia e a Eurasia.",2.0,2.0,2.0,2.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0
"O Partido é o governo de Oceania e partilha dos seguintes lemas: ""Guerra é paz, Liberdade é escravidão e Ignorância é forca"".",1.0,1.0,1.0,1.0,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,0.0
"Naquele verão, eles enfrentaram pela primeira vez a Coisa, um ser sobrenatural e maligno que deixou terríveis marcas de sangue em Derry.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O Duplipensamento, um método responsável pelo autoconvencimento de que seu raciocínio esta errado e o que vale é a diretriz imposta pelo partido.",2.0,2.0,2.0,2.0,0.08,0.08,0.08,0.08,0.0
"Apesar de ter pré-adolescentes como protagonistas, It é um livro de TERROR para adultos, e como tal, vai se virar contra seus personagens sem piedade.",2.0,2.0,2.0,2.0,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0
"Guerra constante, falta de liberdade, onde pensar é crime, controle da mente, alteração do passado, incitação ao ódio etc.",6.0,6.0,6.0,6.0,0.25,0.25,0.25,0.25,0.0
"Em “1984” o passado é alterado e destruído constantemente, todos os meios de registros como: livros, quadros, estátuas, ruas, edifícios, músicas, fotografias e invenções",2.0,2.0,2.0,2.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0
"Os escritores românticos, tanto da prosa quanto da poesia, assimilaram os ideais nacionalistas do romantismo europeu e os adaptaram as condições peculiares de nossa realidade.",2.0,2.0,2.0,2.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0
Ela produz uma bebida alucinógena que é dada aos guerreiros em rituais específicos.,1.0,1.0,1.0,1.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0
Martim é um guerreiro português que vive entre a tribo Pitiguara e tem a missão de fiscalizar a costa cearense contra as invasões estrangeiras.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O tema político é o centro da narrativa, que não é exposto de forma maniqueísta.",2.0,2.0,2.0,2.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.0
Nele não tem nenhum mistério a ser solucionado ou algo a ser descoberto como ponto central.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barry cai morto no chão, e sua morte é diagnosticada por aneurisma cerebral.",2.0,2.0,2.0,2.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0
"Isso desencadeia uma série de problemas para o vilarejo de Pagford, pois com a morte de Barry, há uma vaga de conselheiro em aberto.",4.0,4.0,4.0,4.0,0.1481481481481481,0.1481481481481481,0.1481481481481481,0.1481481481481481,0.0
"É realmente uma estória sobre como são os seres humanos, como eles vivem em sociedade, e com suas famílias.",1.0,1.0,1.0,1.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0
"O livro aborta muitos assuntos, dentre eles tem traição, violência, estupro, uso de drogas, depressão entre outros.",4.0,4.0,4.0,4.0,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.0
