count_words,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,subjectivity
9,0,0,0,0,0,2,0,2,0,0,2,0,1,1,0,2,0,0
36,4,6,4,1,0,7,0,7,1,0,0,0,5,2,0,4,0,0
58,3,10,3,2,1,11,0,10,1,0,1,2,16,3,0,7,0,0
35,1,5,1,2,2,5,0,8,0,0,1,3,4,0,0,4,0,0
11,1,2,1,1,0,2,0,2,0,0,1,2,1,0,0,0,0,0
21,0,2,0,0,1,4,0,2,1,0,2,3,3,1,0,3,0,0
13,2,0,2,0,1,2,0,2,0,0,0,0,1,2,0,3,0,0
33,1,2,1,1,4,2,0,4,1,0,3,0,3,4,0,7,0,0
4,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0
12,0,2,0,2,1,2,0,3,0,0,1,0,1,0,0,0,0,0
18,0,5,0,0,0,1,0,4,0,0,0,3,3,1,0,2,0,0
31,1,6,1,1,1,5,0,7,3,0,1,1,3,0,0,4,0,0
30,1,4,1,1,0,6,0,6,1,0,2,0,4,0,0,3,0,0
24,2,2,2,1,3,4,0,3,0,0,1,1,4,1,0,4,0,0
31,3,4,3,1,2,6,0,8,0,0,0,2,3,1,0,3,0,0
18,2,1,2,0,2,3,0,4,0,0,0,0,2,0,0,1,0,0
15,2,2,2,1,0,3,0,3,0,0,0,1,1,1,0,2,0,0
4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
16,0,1,0,0,1,2,0,4,0,0,3,0,1,0,0,5,0,0
5,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0
12,1,1,1,0,0,1,0,1,0,0,1,0,1,3,0,4,0,0
21,1,4,1,0,1,4,0,6,0,0,0,0,4,1,0,2,0,0
25,1,1,1,1,1,1,0,5,0,0,2,2,5,2,0,6,0,0
16,1,3,1,1,0,4,0,4,0,0,1,0,2,0,0,2,0,0
22,1,3,1,1,1,8,0,5,0,0,1,1,2,0,0,1,0,0
7,1,0,1,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0
17,0,0,0,0,1,2,0,3,1,0,2,0,2,0,0,6,0,0
24,0,3,0,1,4,4,0,5,0,0,1,2,2,0,0,3,0,0
31,2,2,2,2,3,5,0,5,0,0,4,0,4,1,0,4,0,0
15,0,3,0,0,0,3,0,3,1,0,0,1,2,1,0,2,0,0
10,0,1,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0
18,1,2,1,0,0,3,0,3,0,0,2,0,4,0,0,4,0,0
22,0,4,0,0,0,4,0,6,0,0,1,0,5,1,0,2,0,0
6,1,0,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0
32,0,6,0,0,1,5,0,8,0,0,4,1,3,0,0,4,0,0
11,0,0,0,0,1,0,0,0,0,0,1,3,1,2,0,2,0,0
13,0,1,0,0,0,1,0,3,0,0,2,2,2,0,0,2,0,0
19,0,3,0,0,1,2,0,5,0,0,2,0,3,0,0,4,0,0
26,3,1,3,2,0,2,0,4,0,0,2,0,2,4,0,4,0,0
23,0,5,0,1,0,6,0,5,0,0,1,1,3,0,0,2,0,0
12,0,1,0,1,0,4,0,4,0,0,1,0,1,0,0,1,0,0
21,2,5,2,0,0,3,0,3,0,0,2,4,2,0,0,2,0,0
4,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
21,1,5,1,0,0,4,0,7,0,0,2,0,2,0,0,2,0,0
47,5,4,5,3,4,4,1,6,0,0,5,3,11,1,0,3,0,0
21,1,1,1,3,0,2,0,2,1,0,3,1,2,3,0,3,0,0
38,3,8,3,0,1,7,0,12,0,0,2,0,7,0,0,3,0,0
7,1,0,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0
11,0,1,0,0,2,2,0,3,0,0,1,1,2,0,0,1,0,0
6,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
11,0,0,0,1,1,2,0,2,0,0,1,1,1,1,0,2,0,0
21,0,3,0,0,0,6,0,6,0,0,0,0,2,1,0,5,0,0
6,1,0,1,1,0,1,0,1,0,0,1,0,2,0,0,1,0,0
31,0,4,0,0,1,4,0,6,0,0,4,0,4,2,0,5,0,0
17,2,2,2,1,1,1,0,3,0,0,1,0,2,1,0,2,0,0
18,1,1,1,2,0,2,0,3,0,0,1,1,3,2,0,3,0,0
9,0,0,0,1,1,0,0,1,0,0,1,0,2,1,0,2,0,0
10,1,2,1,0,0,0,0,3,0,0,2,0,5,0,0,2,0,0
13,2,2,2,0,1,2,0,3,0,0,1,0,1,0,0,2,0,0
31,1,6,1,1,1,6,0,8,1,0,0,1,2,1,0,5,0,0
16,1,2,1,1,1,3,0,4,0,0,1,0,5,0,0,0,0,0
30,3,5,3,1,1,5,0,5,1,0,0,2,5,0,0,2,0,0
22,3,3,3,0,0,5,0,3,1,0,0,3,5,0,0,3,0,0
73,3,9,3,4,4,9,0,11,0,0,9,5,9,1,0,12,0,0
44,5,3,5,2,1,3,0,4,0,0,5,1,9,3,0,6,0,0
11,1,1,1,0,0,1,0,3,0,0,0,0,5,1,0,3,0,0
24,4,3,4,1,0,5,0,4,1,0,1,0,3,1,0,1,0,0
14,1,0,1,2,1,1,0,2,0,0,0,0,4,0,0,1,0,0
50,2,6,2,1,2,6,0,9,0,0,5,0,6,2,0,9,0,0
11,0,3,0,0,0,3,0,3,0,0,0,1,1,0,0,1,0,0
38,0,9,0,0,2,7,0,10,0,0,2,0,5,1,0,5,0,0
13,0,2,0,0,1,2,0,3,0,0,0,0,3,0,0,4,0,0
15,1,2,1,1,2,2,0,3,0,0,0,1,2,0,0,1,0,0
14,0,4,0,0,0,3,0,4,0,0,0,2,1,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
30,1,5,1,2,2,5,0,6,0,0,3,1,7,1,0,4,0,0
35,2,3,2,3,1,7,0,7,0,0,3,1,4,2,0,6,0,0
19,0,3,0,2,0,2,0,4,0,0,1,0,3,1,0,3,0,0
11,1,1,1,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0
31,4,6,4,0,2,3,0,5,2,0,2,4,4,0,0,1,0,0
23,1,3,1,1,0,5,0,4,0,0,2,1,3,1,0,4,0,0
17,0,1,0,0,2,2,0,2,0,0,2,0,3,1,0,4,0,0
6,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,2,0,0
48,3,8,3,3,1,7,0,8,0,0,8,0,5,1,0,5,0,0
42,0,5,0,2,2,6,0,6,0,0,10,0,4,1,0,9,0,0
29,2,4,2,2,1,5,0,8,0,0,3,0,5,1,0,1,0,0
11,0,1,0,1,0,2,0,2,2,0,1,0,2,1,0,1,0,0
31,0,3,0,2,1,6,0,6,0,0,4,0,5,2,0,5,0,0
22,2,5,2,0,0,2,0,8,1,0,1,0,3,0,0,2,0,0
41,3,5,3,0,3,5,0,7,1,0,6,1,7,1,0,7,0,0
25,1,3,1,1,1,6,0,5,1,0,0,0,1,2,0,4,0,0
48,0,8,0,0,1,11,0,12,0,0,3,1,6,2,0,6,0,0
46,4,6,4,1,3,4,0,7,0,0,5,0,2,1,0,11,0,0
18,0,0,0,0,3,2,0,2,0,0,5,0,2,3,0,2,0,0
5,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
10,0,1,0,0,0,1,0,2,0,0,1,0,1,2,0,3,0,0
19,2,2,2,1,0,2,0,4,0,0,1,0,2,3,0,2,0,0
24,3,3,3,1,1,5,0,4,0,0,3,0,5,0,0,2,0,0
15,2,1,2,1,0,2,0,2,0,0,2,0,3,0,0,1,0,0
15,1,1,1,1,0,1,0,2,0,0,1,1,5,0,0,1,0,0
10,1,2,1,0,0,3,0,2,0,0,0,0,2,0,0,1,0,0
16,0,4,0,0,0,4,0,5,0,0,0,0,1,0,0,2,0,0
13,0,2,0,1,1,1,0,2,0,0,0,0,2,1,0,3,0,0
13,3,3,3,0,0,1,0,3,0,0,0,1,2,0,0,0,0,0
4,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
4,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,4,0,0
12,1,1,1,0,0,0,0,0,0,0,2,0,2,2,0,3,0,0
16,0,2,0,1,0,1,0,4,1,0,2,0,2,2,0,1,0,0
25,2,4,2,1,1,7,0,7,0,0,1,1,1,0,0,1,0,0
17,0,3,0,0,1,1,0,1,0,0,3,0,2,1,0,4,0,0
13,2,1,2,1,2,1,0,1,0,0,2,0,4,0,0,3,0,0
22,3,3,3,1,1,2,0,3,0,0,3,0,3,0,0,5,0,0
6,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
16,0,1,0,1,0,1,0,1,0,0,3,0,2,2,0,3,0,0
13,2,0,2,2,1,1,0,1,0,0,2,0,2,1,0,3,0,0
7,0,1,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0
38,4,3,4,4,2,2,0,3,0,0,6,1,6,2,0,8,0,0
9,0,2,0,0,0,2,0,2,0,0,0,2,1,0,0,1,0,0
16,1,1,1,1,1,4,0,4,0,0,1,0,1,0,0,1,0,0
35,0,5,0,1,2,5,0,6,0,0,4,1,4,2,0,6,0,0
22,1,2,1,1,1,7,0,6,0,0,0,0,4,0,0,2,0,0
56,1,6,1,1,3,8,0,7,1,0,5,4,6,4,0,9,0,0
43,1,7,1,2,1,6,0,8,1,0,2,5,6,2,0,6,0,0
47,0,9,0,2,2,11,0,8,0,0,4,6,3,0,0,5,0,0
29,3,4,3,2,0,7,0,8,0,0,0,0,2,1,0,3,0,0
5,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0
10,1,1,1,1,0,2,0,2,0,0,1,0,1,0,0,1,0,0
15,0,1,0,2,1,2,0,3,0,0,4,0,2,0,0,2,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
23,0,3,0,0,2,6,0,5,0,0,2,1,2,0,0,4,0,0
12,0,1,0,1,1,1,0,1,0,0,0,7,1,0,0,0,0,0
14,1,2,1,0,1,4,0,3,0,0,1,0,2,0,0,2,0,0
4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0
28,1,1,1,0,2,3,0,6,0,0,5,0,6,2,0,7,0,0
9,0,0,0,1,0,1,0,2,0,0,1,1,3,0,0,1,0,0
22,1,2,1,0,1,2,0,5,1,0,0,2,2,2,0,3,0,0
41,2,6,2,2,1,4,0,5,0,0,7,2,4,4,0,6,0,0
22,2,3,2,1,0,4,0,3,0,0,4,0,3,1,0,2,0,0
5,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0
14,0,2,0,1,1,2,0,1,0,0,1,2,2,0,0,3,0,0
6,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,2,0,0
15,0,1,0,0,0,3,0,2,1,0,1,1,6,0,0,2,0,0
16,2,1,2,1,1,4,0,3,0,0,1,2,2,0,0,1,0,0
52,6,8,6,0,1,9,0,7,0,0,6,0,9,2,0,7,0,0
44,3,2,3,1,3,9,0,8,0,0,5,2,8,2,0,6,0,0
24,0,5,0,0,1,4,0,5,0,0,2,3,4,0,0,4,0,0
16,0,1,0,0,0,4,1,3,0,0,1,1,5,0,0,2,0,0
23,3,3,3,2,1,5,0,4,0,0,0,2,2,0,0,0,0,0
14,2,1,2,0,2,3,0,2,0,0,1,0,1,1,0,1,0,0
79,7,10,7,2,1,18,0,16,1,0,5,2,13,4,0,6,0,0
20,1,2,1,1,0,5,0,4,1,0,0,0,2,1,0,3,0,0
30,1,1,1,0,0,6,0,4,0,0,1,3,3,5,0,6,0,0
9,0,1,0,1,0,3,0,3,0,0,0,0,2,0,0,0,0,0
7,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0
43,3,5,3,0,1,10,0,11,1,0,0,1,10,2,0,6,0,0
19,3,2,3,2,2,4,0,3,1,0,0,0,1,0,0,0,0,0
6,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
32,1,4,1,0,2,4,0,4,0,0,5,1,3,2,0,7,0,0
7,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,2,0,0
24,2,3,2,2,3,2,0,4,1,0,0,0,3,2,0,4,0,0
26,1,6,1,0,0,7,0,7,0,0,0,0,5,0,0,2,0,0
19,3,3,3,1,0,4,0,5,0,0,0,0,2,1,0,1,0,0
17,1,3,1,1,1,1,0,3,0,0,1,2,2,1,0,2,0,0
15,1,1,1,1,0,2,0,2,3,0,2,1,2,2,0,2,0,0
19,2,5,2,0,0,4,0,5,0,0,0,1,4,0,0,1,0,0
9,0,2,0,1,0,1,0,1,0,0,1,0,4,0,0,0,0,0
37,2,4,2,2,2,6,0,7,0,0,4,0,6,0,0,4,0,0
15,0,3,0,1,0,3,0,3,0,0,0,2,3,0,0,1,0,0
5,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0
22,2,4,2,1,1,2,0,5,1,0,0,0,6,0,0,2,0,0
14,1,3,1,0,0,3,0,4,0,0,0,1,1,0,0,1,0,0
20,0,4,0,0,0,5,0,3,0,0,1,4,4,0,0,2,0,0
13,0,0,0,0,1,6,0,2,0,0,0,1,1,1,0,2,0,0
6,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0
11,0,1,0,0,1,2,0,2,0,0,0,0,3,0,0,2,0,0
13,1,1,1,1,1,2,0,3,0,0,0,0,1,1,0,3,0,0
37,3,5,3,1,1,6,0,6,0,0,4,4,5,1,0,4,0,0
16,1,3,1,0,0,4,0,5,0,0,0,0,1,1,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
25,3,3,3,1,0,3,0,3,0,0,6,0,2,0,0,4,0,0
21,1,3,1,2,1,3,0,3,0,0,1,2,4,0,0,2,0,0
26,0,2,0,4,1,3,0,4,0,0,1,6,5,0,0,2,0,0
35,1,7,1,0,1,4,0,7,0,0,3,2,6,0,0,6,0,0
9,2,0,2,1,0,2,0,2,0,0,0,0,2,0,0,1,0,0
24,1,3,1,2,2,5,0,7,0,0,0,0,3,1,0,2,0,0
32,2,4,2,1,2,6,0,6,1,0,4,0,2,0,0,5,0,0
23,0,2,0,2,2,3,0,2,1,0,1,4,3,0,0,1,0,0
28,1,4,1,1,0,3,0,6,0,0,3,0,7,1,0,5,0,0
13,1,2,1,0,1,3,0,3,0,0,0,2,2,0,0,1,0,0
21,1,4,1,0,0,3,0,4,2,0,1,0,4,2,0,3,0,0
13,0,0,0,1,1,0,0,2,0,0,0,7,3,0,0,0,0,0
44,4,1,4,6,1,3,0,2,0,0,16,1,4,2,0,7,0,0
14,0,1,0,1,0,3,0,2,0,0,2,2,2,0,0,1,0,0
10,1,0,1,0,0,2,0,2,0,0,1,0,2,1,0,3,0,0
37,4,4,4,1,1,6,0,5,0,0,2,0,9,2,0,6,0,0
10,0,0,0,1,0,2,0,2,0,0,0,0,2,2,0,2,0,0
17,0,2,0,2,0,0,0,0,0,0,5,0,4,0,0,0,0,0
20,1,2,1,1,1,3,0,2,0,0,5,1,1,0,0,4,0,0
11,0,2,0,0,0,3,0,3,0,0,0,0,1,0,0,1,0,0
29,3,4,3,0,1,5,0,3,0,0,2,2,3,1,0,4,0,0
33,0,4,0,0,2,4,0,4,0,0,6,1,4,3,0,8,0,0
22,0,4,0,3,0,5,0,5,0,0,2,1,4,1,0,1,0,0
17,0,3,0,0,1,0,0,3,0,0,1,0,4,3,0,6,0,0
30,3,4,3,2,2,3,0,5,0,0,2,0,5,2,0,3,0,0
24,2,3,2,0,1,0,0,4,0,0,6,0,4,1,0,6,0,0
21,4,4,4,0,0,2,0,5,0,0,0,2,2,1,0,3,0,0
34,0,2,0,1,1,8,0,8,0,0,1,1,1,3,0,6,0,0
9,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,1,0
15,0,3,0,0,0,2,0,4,2,0,0,2,1,0,0,1,0,0
6,0,0,0,1,0,1,0,1,0,0,1,2,1,0,0,0,0,0
12,1,1,1,1,0,2,0,1,0,0,2,0,1,1,0,2,0,0
6,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0
77,3,13,3,5,4,13,0,10,2,0,3,9,7,2,0,9,0,0
21,2,3,2,1,1,6,0,5,1,0,0,0,3,0,0,1,0,0
39,3,7,3,1,0,5,0,5,0,0,5,2,2,1,0,6,0,0
6,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0
13,1,3,1,1,1,1,0,3,0,0,1,0,2,0,0,1,0,0
8,0,1,0,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0
18,1,4,1,0,0,1,0,3,0,0,1,1,4,0,0,3,0,0
31,1,4,1,1,0,8,0,7,0,0,4,1,2,0,0,4,0,0
10,3,1,3,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0
26,2,4,2,2,1,3,0,4,1,0,2,2,2,1,0,3,0,0
10,1,1,1,1,1,1,0,5,0,0,0,0,3,0,0,0,0,0
36,1,5,1,1,2,6,0,10,0,0,3,0,3,1,0,4,0,0
10,2,1,2,1,2,0,0,0,0,0,0,3,2,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0
22,0,2,0,1,0,2,0,4,1,0,4,0,5,0,0,3,0,0
22,1,5,1,1,0,6,0,6,0,0,0,1,3,1,0,1,0,0
6,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
12,1,1,1,2,0,2,0,2,0,0,0,0,1,1,0,1,0,0
63,3,8,3,1,4,10,0,14,0,0,3,6,10,3,0,8,0,0
24,2,2,2,2,1,1,0,5,1,0,4,0,4,1,0,2,0,0
18,0,2,0,0,2,4,0,3,0,0,2,0,2,1,0,2,0,0
23,3,4,3,1,1,4,0,3,0,0,1,3,2,0,0,3,0,0
9,1,1,1,0,0,1,0,1,0,0,0,0,2,1,0,2,0,0
16,1,3,1,0,0,3,0,3,1,0,0,0,4,1,0,1,0,0
5,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0
21,0,2,0,0,2,2,0,3,0,0,1,0,2,2,0,5,0,0
14,1,1,1,0,2,0,0,1,0,0,1,0,2,0,0,3,0,0
14,2,2,2,2,0,2,0,4,0,0,1,1,1,0,0,0,0,0
21,2,4,2,1,0,4,0,5,1,0,0,1,5,0,0,1,0,0
17,1,2,1,0,1,4,0,4,0,0,1,0,1,0,0,4,0,0
11,1,3,1,0,0,1,0,2,0,0,1,1,1,0,0,1,0,0
13,1,1,1,0,0,2,0,4,0,0,1,0,1,1,0,2,0,0
18,1,3,1,1,0,3,0,4,0,0,1,0,1,1,0,3,0,0
15,0,2,0,0,0,3,0,3,0,0,2,1,2,0,0,3,0,0
33,3,3,3,2,2,2,0,4,0,0,3,2,1,2,0,6,0,0
6,0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,0,0,0
15,0,1,0,0,1,3,0,5,0,0,2,0,2,0,0,3,0,0
12,0,2,0,1,0,3,0,1,0,0,0,2,1,1,0,2,0,0
69,5,6,5,3,6,8,0,11,0,0,5,1,6,5,0,14,0,0
29,1,6,1,0,1,7,0,6,0,0,1,2,3,0,0,3,0,0
15,0,3,0,1,1,2,0,3,0,0,1,0,3,0,0,2,0,0
7,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0
11,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,4,0,0
25,3,4,3,0,2,4,0,4,1,0,3,0,1,0,0,3,0,0
22,0,2,0,1,0,4,0,4,0,0,1,0,5,2,0,4,0,0
14,1,2,1,2,0,4,0,4,0,0,0,0,1,0,0,1,0,0
30,2,5,2,1,1,6,0,8,1,0,2,0,4,0,0,1,0,0
138,7,16,7,6,3,31,0,27,1,0,9,9,11,6,0,14,0,0
4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
33,2,6,2,0,0,6,0,9,0,0,1,1,4,1,0,5,0,0
31,0,2,0,1,0,5,0,7,0,0,2,2,4,1,0,6,0,0
13,1,2,1,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0
17,1,1,1,1,0,2,0,3,0,0,1,2,1,3,0,2,0,0
13,2,0,2,0,0,3,0,4,0,0,0,0,4,0,0,1,0,0
17,0,2,0,0,1,2,0,4,0,0,0,2,2,0,0,3,0,0
11,1,2,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0
13,1,2,1,0,1,1,0,2,0,0,1,0,5,0,0,3,0,0
31,2,6,2,3,0,4,0,4,0,0,3,2,6,0,0,3,0,0
18,2,1,2,1,3,1,0,1,0,0,1,0,2,2,0,3,0,0
52,3,9,3,2,2,11,0,15,0,0,3,0,8,0,0,4,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
13,0,2,0,0,0,3,0,3,0,0,0,0,1,1,0,2,0,0
6,1,0,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,3,0,1,0,0,0,1,1,1,0,2,0,0
67,3,6,3,4,2,18,0,12,2,0,3,2,8,3,1,5,0,0
13,1,3,1,0,1,1,0,3,0,0,0,1,2,0,0,2,0,0
13,0,1,0,0,0,2,0,1,0,0,1,2,3,2,0,2,0,0
17,0,3,0,0,0,2,0,4,0,0,1,2,3,0,0,2,0,0
26,1,4,1,3,1,3,0,3,1,0,1,1,2,2,0,5,0,0
5,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0
27,1,4,1,0,2,6,0,8,0,0,1,0,1,1,0,4,0,0
12,1,2,1,1,0,3,0,3,0,0,0,1,3,0,0,1,0,0
15,0,2,0,1,1,3,0,3,1,0,0,1,3,0,0,2,0,0
34,5,5,5,1,1,7,0,8,0,0,2,0,4,1,0,2,0,0
26,1,4,1,0,1,5,0,6,0,0,1,1,4,1,0,5,0,0
52,2,8,2,0,2,11,0,9,1,0,2,3,6,2,0,6,0,0
27,0,5,0,0,0,5,0,8,0,0,1,0,5,1,0,2,0,0
34,2,5,2,2,1,8,0,8,1,0,1,0,3,1,0,3,0,0
5,0,0,0,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0
12,1,2,1,0,0,2,0,2,0,0,2,0,1,0,0,1,0,0
14,2,1,2,0,0,4,0,4,0,0,0,1,3,0,0,1,0,0
30,1,5,1,0,1,6,0,7,1,0,1,4,4,1,0,3,0,0
5,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0
25,1,7,1,0,1,5,0,5,0,0,2,2,3,0,0,1,0,0
19,0,1,0,1,0,3,0,3,0,0,1,1,3,1,0,3,0,0
8,3,1,3,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0
27,2,4,2,0,1,6,0,7,0,0,1,0,2,1,0,2,0,0
34,2,4,2,2,2,6,0,9,0,0,1,3,4,0,0,4,0,0
16,0,2,0,1,0,1,0,2,0,0,3,0,2,1,0,2,0,0
8,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,0,0
5,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
11,0,1,0,1,1,0,0,2,0,0,3,0,1,0,0,3,0,0
23,0,3,0,2,1,2,0,5,0,0,1,1,4,1,0,5,0,0
5,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
36,5,5,5,2,0,8,0,8,0,0,1,0,3,3,0,3,0,0
48,3,7,3,2,1,7,0,8,0,0,7,1,6,1,0,7,0,0
16,0,2,0,1,0,2,0,3,0,0,4,0,3,0,0,2,0,0
10,1,1,1,0,1,2,0,2,0,0,1,0,2,0,0,2,0,0
12,0,2,0,1,0,4,0,2,0,0,0,2,1,0,0,1,0,0
28,1,5,1,1,2,5,0,6,0,0,0,3,5,1,0,1,0,0
10,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,3,0,0
21,2,1,2,1,0,1,0,3,1,0,5,0,5,0,0,3,0,0
14,1,3,1,1,0,2,0,1,0,0,1,0,4,1,0,1,0,0
54,5,9,5,1,2,10,0,11,0,0,4,3,7,2,0,5,0,0
71,2,12,2,1,4,16,0,20,0,0,2,0,13,2,0,6,0,0
15,1,4,1,1,0,4,0,4,0,0,1,0,3,0,0,0,0,0
14,1,2,1,0,1,3,0,3,0,0,0,0,2,1,0,2,0,0
48,0,12,0,0,0,13,0,12,0,0,3,4,2,0,0,2,0,0
11,0,1,0,0,0,2,0,2,0,0,1,0,1,0,0,4,0,0
35,2,4,2,3,0,5,0,6,1,0,7,1,3,1,0,3,0,0
12,0,2,0,0,2,3,0,3,0,0,1,0,2,0,0,1,0,0
33,2,5,2,1,4,7,0,8,0,0,1,0,3,0,0,4,0,0
14,2,1,2,1,0,3,0,3,0,0,1,0,2,0,0,2,0,0
28,0,6,0,0,0,2,0,8,0,0,2,0,4,3,0,6,0,0
36,0,5,0,0,2,8,0,9,0,0,0,0,7,2,0,5,0,0
