sentence,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,subjectivity
"Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo",15,0,0,0,1
"Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.",12,0,0,0,1
Recomendo.,1,0,0,0,0
Pedimos um pirarucu ao molho de tucupi e não arrependemos,10,0,0,0,0
"O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..",40,1,0,0,1
"Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.",18,0,0,0,1
Comida Boa por um bom preço.,6,1,0,0,1
O restaurante fica dentro do hotel Vila Amazônia,8,1,0,0,0
"Boa carne, atendimento eficiente e grande variedade de saladas.",9,0,0,0,1
Local agradável.,2,0,0,0,1
Sucos com frutas locais além dos tradicionais.,7,0,0,0,0
"Adoro as pizzas e o almoço, nas duas unidades.",9,0,1,0,1
O atendimento também é muito bom.,6,0,0,0,1
Delivery também vale super a pena.. a pizza chega bem quentinha!,10,0,0,0,1
"Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.",24,0,0,0,0
Mas nada que nos impeça de voltar,7,0,0,0,0
"Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.",29,2,1,0,0
Parada obrigatória sempre que vou a Manaus!!,7,2,0,0,0
"Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.",13,0,0,0,0
"Atendimento bom, local familiar.",4,0,0,0,1
"Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.",20,1,0,0,1
"O tacacá continua bom, mas o problema ainda é o preço.",11,0,0,0,1
"Inclusive, recentemente houve um aumento para R$18,00.",6,0,1,0,0
Resultado: só dá para provar de vez em quando.,8,0,0,0,0
"Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.",16,0,0,0,1
Deliciosos pratos.,2,1,0,0,1
Local aconchegante e familar.,2,0,0,0,1
Boa comida e boa bebida.,5,0,0,0,1
Ideal para desfrutar um jantar romantico.,5,1,0,0,0
"Tucunaré escabeche, e primeira, pirão a gosto.",7,0,0,0,0
Tucunaré peixada sem igual.,4,0,0,0,1
"Vários tipos de molho regional, com tucupi e outros.",9,0,0,0,0
"A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.",24,2,0,0,1
"Os pratos, petiscos e bebidas são nota 10!",7,0,1,0,1
Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.,12,0,0,0,1
"Então, tenha paciência!",3,0,0,0,0
"rs O bar lota nos fins de tarde, principalmente às sextas feiras.",11,0,0,0,0
"No andar de cima, o burburinho chega a ser insuportável de tanta gente!",13,0,0,0,0
"rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!",15,1,0,0,0
"), aguente..... rs Vale a pena!",4,1,0,0,0
Mesmo com os preços um pouco salgados....,7,0,0,0,1
"Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,",22,1,0,0,1
Muito bom.,2,0,0,0,0
"Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.",15,0,0,0,0
"Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.",18,0,0,0,1
Já fui diversas vezes e sempre levando amigos e parentes para conhecer.,12,0,0,0,0
"Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.",20,0,0,0,0
"As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.",23,0,0,0,0
"Para quem não conhece ainda, recomendo.",6,0,0,0,0
Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.,13,0,0,0,0
"Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.",28,1,0,0,1
SUPER RECOMENDO.,2,1,0,0,0
A tradição gaúcha está bem representada o a Búfalo.,9,1,0,0,0
Cortes especiais das mais nobres carnes são um convite todo especial.,11,1,0,0,1
"Delicioso, variado e completo buffet.",4,1,0,0,1
Pratos quentes fenomenais.,3,0,0,0,1
Também com opção de comida japonesa e peixes em geral.,10,0,0,0,0
Agrada facilmente todos os gostos.,5,0,0,0,0
"Ambiente amplo, confortável e muito agradável.",6,0,0,0,1
Atendimento nota 10.,2,0,1,0,1
Exelente localização.,1,1,0,0,1
"O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.",26,0,0,0,0
"E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.",16,0,0,0,1
atendimento deixa a desejar.,4,0,0,0,1
Nem sempre fui bem atendida.,5,0,0,0,0
Mesmo os não vegetarianos comerão bem.,6,0,0,0,0
"Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.",9,1,0,0,1
"Almoçamos em uma sexta feira, fomos em 2 famílias.",8,1,1,0,0
A comida estava boa e bem servida.,7,0,0,0,1
O ambiente é amplo com 2 andares e banheiros bastante limpos.,10,0,1,0,1
O atendimento é cordial.,4,0,0,0,1
"O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.",24,0,0,0,0
"O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.",12,0,0,0,1
"As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!",23,0,0,0,0
Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.,21,0,0,0,1
"Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.",13,1,0,0,0
Contém também sopas,3,0,0,0,0
O restaurante do SENAC é bem situado.,6,1,0,0,1
"Ambiente super higienizado, atendimento excelente, os preços são ótimos.",8,0,0,0,1
As comidas são excelentes.,4,0,0,0,1
"Muito bom..., aconselho!.",3,0,0,0,0
"Vale experimentar o tambaqui na brasa, é muito bom!!!",9,1,0,0,1
"O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.",14,0,0,0,1
Muito bom o atendimento.,4,0,0,0,1
Cardápio variado.,2,0,0,0,1
Culinária regional e deliciosa.,4,1,0,0,0
Ambiente agradável.,2,0,0,0,1
Custo benefício alto.,3,0,0,0,1
So vale a pena em datas especiais.,6,1,0,0,0
Recomendo conhecer.,2,0,0,0,0
"Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças.",17,0,0,0,0
"O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo.",29,2,0,0,0
Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música.,18,1,0,0,1
"O tacacá não é um dos melhores, mas a música compensa.",11,0,1,0,0
Comida muito boa.,3,0,0,0,1
"Casa muito linda, grande e elegante.",6,0,0,0,1
Buffet variado de pratos quentes e frios.,6,1,0,0,1
"Churrascaria perfeita, Fanatástica!",2,1,0,0,1
Imperdivel!,0,1,0,0,0
"Excelente comida, excelente atendimento.",4,0,0,0,1
Pouca tempo de espera se consideramos que era uma data festiva.,11,0,0,0,1
"Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade.",16,1,0,0,1
Manaus esta de parabéns!,4,1,0,0,0
"Ótimo lugar para ir comemorar aniversarios, confraternizações e tudo mais.",9,0,0,0,0
O preço é mais salgado mas é justo.,8,0,0,0,1
Ambiente bem amplo.,3,0,0,0,1
Atendimento muito eficaz!,3,0,0,0,1
Recomendo!,1,1,0,0,0
"Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive.",28,0,1,0,1
"Sim, em Manaus tem opções todos os dias da semana, e no Armando começa na segunda feira!!!",17,2,0,0,0
"Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!",18,0,0,0,1
"É sem sombra de dúvidas um dos melhores bares da cidade, sem frescura!!!",13,0,1,0,0
A melhor coisa dessa padaria é a possibilidade de montar seu próprio sanduíche com as opções da casa.,18,0,0,0,0
"Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho.",26,0,0,0,1
"Cafezinho esse que aliás, é muito bom.",7,0,0,0,1
"O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante...",25,0,1,0,1
"Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer.",19,0,0,0,1
A melhor peixaria da cidade!,5,0,0,0,1
"Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região.",17,0,0,0,1
"O preço é um pouco acima da média, mas vale cada centavo que custa.",14,0,0,0,1
Recomendo,1,0,0,0,0
Comemos um prato Camarões Beira mar!,6,1,0,0,0
"É excepcional, mas poderia vim um pouco mais...",8,0,0,0,0
Serve três pessoas.,3,0,1,0,0
Vem como acompanhamento batata cozida e arroz com brócolis!,8,0,0,0,0
Coco Bambu sempre tem fila!,5,1,0,0,0
É bom ligar antes para fazer a reserva.,8,0,0,0,0
Ligue o quanto antes porque o horário para agendar reserva é limitado.,12,0,0,0,1
"Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,.",16,0,0,0,1
Recomendo quem quer saciar a fome..,6,0,0,0,0
"Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor.",33,0,1,0,1
Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium).,23,1,0,0,1
Como já disse o cardápio principal é de peixe amazônico.,10,0,0,0,0
Experimentei o 'Tambaqui na Telha'.,3,2,0,0,0
No jantar em que estive havia música ao vivo com um ótimo cantor de MPB.,14,0,0,0,0
"Local agradável, vale a visita e excelente custo benefício (1 prato serve 3).",11,0,2,0,1
"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.",15,1,0,0,1
"Excelente peixe, para quem esta localizado no Distrito Industrial, excelente pedida para almoço.",13,1,0,0,1
dica Matrinxã recheada.,2,1,0,0,0
É um restaurante executivo com buffet gostoso e serviço a la carte bem no centrinho da cidade mas é bem pequeno.,19,0,0,0,1
Funciona para almoço e jantar.,5,1,0,0,0
Nota 10 restaurante com comidas típicas e variadas para todos gostos atendimento nota mil super recomendo fantástico voltaria com certeza!!!,19,0,2,0,1
"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.",13,1,0,0,0
"Lugar novo , dentro do shopping Ponta Negra.",7,1,0,0,1
Serviço bom.,2,0,0,0,1
Som ao vivo agradavel.,3,0,0,0,1
Pratos dão até para três pessoas.,6,1,1,0,0
"Muito bom, recomendo atendimento 100% Agradeço o Ricardo José pelo excelente atendimento e o prato de camarão show!!!",17,2,1,0,1
"O atendimento foi ótimo, a entrada (banana pacová com patê de algum peixe) foi uma delícia e o tambaqui, em si, um espetáculo!",23,0,0,0,1
Recomendo!,1,1,0,0,0
O preço também é ótimo!,5,0,0,0,1
Comida regional chique demais.,4,0,0,0,1
Ambiente frequentado pela elite de Manaus.,6,1,0,0,0
Encontrei até jogador de vôlei (Nalbert).,5,1,0,0,0
E vi um peixe tambaqui de 40 Kg!!!,7,0,1,0,0
Pratos usando produtos regionais mas com inovações.,7,0,0,0,0
Ambiente agradável com decoração lembrando a Amazônia como parede imitando escamas de pirarucu e casa de pau-a-pique.,17,1,0,0,1
"Melhor rodízio de pizza de manaus (de terça a quinta-feira), a pizza com massa fininha, bem recheada e com vários sabores, muito bom!!",22,0,0,0,1
"O rodízio tem um preço acima dos concorrentes, mas vale o cobrado pela qualidade oferecida.",15,0,0,0,1
"O serviço é bom, sempre tem um garçom por perto e o bacana é que possui um estacionamento gratuito bem em frente.",22,0,0,0,1
O gergelim na borda é a marca registrada da pizzaria e vai muito bem com os sabores salgados.,18,0,0,0,0
"Para beber uma dica é o mate que fazem, que acompanha bem a pizza.",14,0,0,0,0
"Já na sobremesa, as pizzas de cupuaçu e de mm's já fazem valer o rodízio, por serem sensacionais.",17,0,0,0,1
"Manaus tem peixarias muito boas e a Choupana, sem dúvida está entre as melhores!",14,2,0,0,0
"A comida é ótima, saborosa e bem preparada.",8,0,0,0,1
O ambiente é agradabilíssimo!,4,0,0,0,1
Recomendo!,1,1,0,0,0
Coco bambu é maravilhoso em qualquer lugar!,7,1,0,0,1
Camarão internacional para duas pessoas serve tranquilo para três!,9,1,2,0,0
De sobremesa a cocada ao forno com sorvete é espetacular!,10,0,0,0,1
"Sem duvidas, o Restaurante Banzeiro é uma das melhores peixarias de Manaus!",12,2,1,0,1
A criatividade na elaboração dos pratos é fantástica!,8,0,0,0,1
Uma explosão de sabores regionais inigualável!,6,0,0,0,1
"Atualmente peca, é muito, pela falta de compromisso com o horário de atendimento (fechamento) pela parte da noite!",18,0,0,0,0
"Visito o restaurante com certa frequência e muitas foram as vezes q mesmo chegando antes das 23:00 ( horário de fechamento, em tese)encontrei com a plaquinha minúscula, pouco visível de dentro do carro, avisando que já estava fechado.",37,0,0,0,0
"Saudades do tempo em q o maître Adonias  nos  atendia e aos demais clientes, com rigor no cumprimento do horário!.",18,1,0,0,0
"Lamentável um restaurante da categoria do Banzeiro, não respeitar os clientes com o Básico., qual seja, cumprimento do horário!",19,2,0,0,0
Saudades do que já tivemos!,5,1,0,0,0
"Entre um vôo e outro , já que no aeroporto de Manaus ainda não tem NEHUM restaurante , arriscamos esse .",17,1,0,0,0
"O local é bastante simples e até que o preço cobrado não é tão ""simples"" assim , mas a comida era boa .",20,0,0,0,1
Apenas fiquei surpresa pois era num sábado as 21:00 e não havia nenhuma mesa ocupada além da nossa.,17,0,0,0,0
Uma pena!,2,0,0,0,0
"O nome engana - o lugar tem uma variedade enorme de todo tipo de bebidas, comidas tipicas deliciosas padrão gourmet, um ambiente aconchegante.",20,0,0,0,1
Quem entra não tem pressa de sair.,7,0,0,0,0
"Excelente atendimento, garçom Ebrahim muito educado e atencioso.",7,1,0,0,1
"Recomendo o restaurante, o melhor de Manaus!",7,1,0,0,0
Ótima variedade de sucos.,4,1,0,0,1
"Salgados e sanduíches saborosos, porém o valor exorbitante cobrado me deixa insatisfeito.",11,0,0,0,1
Restaurante muito bom e concorrido de Manaus.,7,1,0,0,1
Comida regional com pratos generosos.,5,0,0,0,1
"Muito bom com muitas opções, além do tradiconal peixe, tem também outros pratos para quem não come peixe.",17,0,0,0,0
Preço justo,2,0,0,0,1
Comida saborosa.,2,0,0,0,1
Impecável.,1,0,0,0,0
Peixe estava bem preparado no ponto e com acompanhamentos deliciosos.,10,1,0,0,1
"O único problema foi no atendimento, pois o garçom deveria ser novo e não sabia explicar as bebidas por exemplo.",20,0,0,0,0
Mas valeu a pena.,4,0,0,0,0
Boas pixzzas e boas massas.,4,1,0,0,1
Lugar aconchegante e tranquilo.,3,0,0,0,1
"Atendimento razoavel, principalmente quando está cheio.",5,0,0,0,1
Preço justo pela qualidade dos pratos.,6,0,0,0,1
Vim comer nessa pizzaria no domingo.,6,0,0,0,0
Foi bastante tranquilo e a pizza veio rápido.,8,0,0,0,0
Achei bem saborosa e com recheio de qualidade.,8,0,0,0,1
"Não gostei muito da borda com gergelim, algo fora do padrão de pizza.",13,0,0,0,1
Mas de maneira geral valeu a pena.,7,0,0,0,0
Quando se está com muita fome e sem opção o Habibs pode ser a saída....o ambiente não é agradável e comida é razoável.,23,1,0,0,1
"Uma boa opção para quem quer comer rápido, mas fugindo do barulho da praça de alimentação.",16,0,0,0,0
Buffet com opções variadas e saborosas.,5,1,0,0,1
"De sobremesa, peça o petit gateau !",5,0,0,0,0
"Serve lanches e cerveja gelada, tem mesinhas fora do estabelecimento, funciona em uma casa antiga o que faz parte do seu charme.",22,1,0,0,1
Recomendo.,1,0,0,0,0
"Recentemente inaugurado e em plena Savassi, o restaurante é um local agradável, com sua cozinha espanhola com influência mediterrânea, conta também com um espaço cultural com exposições de artes, apresentações artísticas e dança flamenca.",32,1,0,0,1
Seu carro chefe são as paellas valencianas e marinera.,7,0,0,0,0
Imperdíveis!,1,0,0,0,0
"O bar fica próximo ao Teatro Amazonas, e geralmente tem música ao vivo acompanhada de cerveja gelada.",17,1,0,0,1
Para comer uma boa pedida é o sanduíche de pernil e bolinhos de bacalhau.,14,0,0,0,0
O ambiente é agradável em razão da diversidade de seus frequentadores.,11,0,0,0,1
"Um lugar seguro, agradável, aconchegante, preço acessível, bem localizado, faça uma visita com a sua família ou amigos.",17,0,0,0,1
"Sabor da comida fantástico, em qualquer especialidade típica da região.",10,0,0,0,1
Além do atendimento e ambiente super confortável.,7,0,0,0,1
"Além de continuar com um bom self service, com destaque para as sobremesas, também tem boas opções a la carte.",19,0,0,0,1
"Mas o destaque são os drinks preparados pelo Marcolino, principalmente as caipirinhas de cupuaçu e a tradicional.",16,1,0,0,0
Também tem bons shows folclóricos nas quintas feira.,8,0,0,0,1
Bom para experimentar releituras de pratos da comida regional.,8,0,0,0,0
"Adorei TUDO que experimentei, especialmente, o pesto de Jambu.",8,2,0,0,0
"Fora isso, o atendimento é MUITO bom e o ambiente/vista são lindos.",11,0,0,0,1
"As empanadas deste lugar são deliciosas, e as cervejas também, tem boa opção de vinho!!",14,0,0,0,1
"Gostei, pena que o lugar é pequeno, muitas vezes não tem lugares disponíveis!",13,0,0,0,1
Muito bom!,2,0,0,0,0
"A carne de sol é ótima, muito bem servida, as Cervejas do Dedé são muito saborosas, principalmente a Dunkel, o atendimento é top",21,2,0,0,1
"Esta sorveteria é muito simpática, bem em frente ao Teatro Amazonas, na praça.",13,1,0,0,1
"Experimentei o sorvete de Creme de Cupuaçu, delicioso!",8,1,0,0,1
Tem outros sabores de frutas locais e também os usuais.,10,0,0,0,0
"Além disso, o pessoal que atende é muito gentil!",9,0,0,0,1
"Muito bom, local simples de boa qualidade, sucos deliciosos e abundantes.",11,0,0,0,1
Preço razoável.,2,0,0,0,1
Aconselho conhecer!.,2,0,0,0,0
adorei estar neste lugar o qual possue um otimo cardapio regional local alem do otimo atendimento o local e bastante amplo e bem climatizado com amplo estacionamento e otima localizacao.. recomendo a todos..,26,0,0,0,1
"É uma delicia a carne sol do coqueiro verde, com mais os bolinhos de macaxeira frita.",16,0,0,0,1
"Padrão de qualidade, bom atendimento, o preço é razoável.",9,1,0,0,1
"boa localização, bonito, amplo , limpo, pessoal atencioso , comida super agradável, e farta ; as carnes sao da melhor qualidade",17,0,0,0,1
"Excelente comida, cozinha aberta a visita, estacionamento amplo, lugar bem aconchegante, amplo, bom atendimento, selv service.",14,0,0,0,1
"Ótimo atendimento, carnes saborosíssimas, ambiente agradável com brinquedoteca, boa opção para os pais que tem filhos pequenos.",17,0,0,0,1
Não deixe de pedir o steak de alcatra e a costela com molho barbecue.. são fantásticos!,15,0,0,0,0
Vou sempre que posso.,4,0,0,0,0
"Deliciosamente ,variedades no cardápio ,ambiente confortável e com um preçinho saboroso,indico p todos,vale conferir",14,0,0,0,1
Fui no almoço.,3,0,0,0,0
"Primeiro o garçom foi inconveniente ao insistir no que deveríamos pedir, pedimos de entrada um camarão de 76 reais que não estava bem preparado.",23,0,1,0,1
"Depois de muita dúvida pois o cardápio é muito extenso e repetitivo, pedimos um camarão Iracema(157 reais) que no cardápio dizia servir até  4 pessoas, talvez serviria se a quarta pessoa aceitasse comer só arroz de leite, pois sobrou uma quantidade enorme, camarão mesmo que é bom achei que só come no máximo 3.",51,0,2,0,1
De acompanhamento uma porção de macaxeira que nem comemos pois estava dura.,12,0,0,0,0
"Resultado, 300 reais a conta pra três pessoas, lugar bonito mas a comida, o atendimento e o preço não valeu a pena.",21,0,2,0,1
"Fui diversas vezes desde qdo mudei pra Manaus e trouxe as visitas ( turistas) pra ter a experiência de tomar sopas variadas em sistema de buffet, em ambiente rústico e amplo.Todos sempre gostaram da experiência",33,1,0,0,1
Os garçons falam como se fossem ada nossa família!,8,0,0,0,0
"O ambiente é sofisticado e há bastante opção de acompanhamento, desde saladas, geleias, queijos e o tradicional para um churrasco.",19,0,0,0,1
"Achei que faltou o feijão normal, pois só tinha o tropeiro!",11,1,0,0,0
"Na entrada, há cachaças artesanais para os clientes provarem!",9,0,0,0,0
"O local é caro, então faça valer a pena e coma muito!",12,0,0,0,0
"Se você procura comer um bom bacalhau, estará no lugar certo.",11,0,0,0,1
Experimentei dois pratos e ambos estavam divinos.,7,0,1,0,1
"O ambiente é muito bonito, mas nem tanto acolhedor.",8,0,0,0,1
"Os funcionários são educados, porém, numa das vezes que estivemos houve um problema com a conta (erro da casa) e a mesma não se esforçou para resolvê-lo.",25,0,0,0,1
Um casa desse nível não poderia ter tal comportamento.,9,0,0,0,0
"Todavia, o preço dos pratos são assustadores, muito embora um prato individual serve com fartura duas pessoas, mas ainda assim o preço é puxado.",24,0,1,0,1
