has_opinion	sentence
0	"Recomendo o restaurante e certamente voltarei."
1	"Hoje comi um com o hot dog nesse restaurante e foi muito decepcionante."
0	"O lugar estava vazio, o atendente morrendo atrás do computador."
0	"Parece o pior dia da vida dele, nem bom dia deu."
0	"O lanche foi preparado por ele sem qualquer atenção."
0	"O molho para o nacho veio num copo ho plástico sem qq colher, os nachos eram maiores que o copo não tinha como pegar."
0	"O refrigerante veio em lata, sem copo sem canudo."
0	"Atendente estava nitidamente resfriado, fungando na comida."
1	"O preço cobrado  30 reais (Jan 20) é altíssimo se considerado a qualidade entregue."
0	"Lugar a se evitar."
0	"Quem sabe se os proprietários um dia virem esse análise façam algo, o lugar parece bacana."
0	"Ah outra mega decepção."
0	"O chatchup nitidamente foi colocado nos vidros da heinz."
0	"É nitidamente colocado outra marca, pois o sabor é daqueles bem vagabundos."
1	"Conheci o Folques Doces em março um ótimo ambiente com doces magníficos um lugar para saborear ótimos doces"
1	"O  Restaurante San Marino tem um ambiente agradável, o atendimento é muito bom, funcionários educados, a comida é muito saborosa."
1	"Comida espetacular, atendimento impecável, Petit Gateau perfeito, ambiente super agradável, sem duvida um dos melhores restaurantes que já fui."
1	"Um restaurante novo, bem montado, gostoso de se frequentar, parecido com outro de nome "Coco Bambu", com preços mais atraentes."
1	"Os pratos são fartos e bem feitos."
1	"O garçon que nos atendeu foi bastante solícito e explicou cada prato perguntado, com detalhes."
1	"Um dos problemas é que os pratos fartos, são exagerados para duas pessoas."
0	"Pedimos uma pescada acompanhada de arroz e legumes na manteiga, que servia tranquilamente 04 pessoas."
0	"Sugestão: que a casa sirva pratos em menor porção para que as pessoas possam solicitar mais variedades."
1	"No geral, um bom restaurante!"
1	"tudo muito saboroso e bem elaborado, os sanduíches poderiam ter um pão maior, pois o pão sempre acaba antes do hambúrguer, mas sempre delicioso."
1	"O delivery é bem rápido."
0	"Além das pizzas, vale a pena experimentar os breads e o dips de canela."
0	"Sempre perguntar se tem promoção, pois há a promoção de pizza em dobro."
1	"Comida incrível!!"
0	"Conheço bem a comida indiana e não poderia recomendar restaurante mais típico."
1	"Garçons Super atenciosos."
0	"Dono super simpático também"
1	"Atendimento simplesmente perfeito, todos muito atenciosos e simpáticos."
0	"Um senhor chamado Valdir tocando uma boa música no piano e depois na sanfona, indo de mesa em mesa de forma educada."
0	"Os pratos também sem comentários."
0	"Só não dou a nota 5 pela decoração, que tem um aspecto meio "velho"."
0	"Acho que eles tinham a ideia de fazer uma coisa  clássica, mas exageraram um pouco."
0	"Um dos melhores restaurantes de São Luís, especialista em carne de carneiro."
0	"Também umas das melhores pizzas da Ilha."
0	"Muito bom para ir com a família."
1	"Estrutura moderna e nova."
1	"Bom atendimento."
1	"Melhor hamburgueria de curitiba,tanto é que tem filial ate na terra do sanduiche,estados unidos.é caro!"
1	"Pizzaria muito boa, uma das melhores q já experimentei, atendimento impecável, comida de excelente qualidade, assim como bebidas... Preço justo"
1	"Ambiente pequeno, mas bem decorado e familiar."
1	"A pizza é bem gostosa!"
0	"Uma pizza família, com 8 pedaços, custa em torno de 45 reais."
1	"vale a pena ir recomendo a todos que vierem em são Paulo, limpo e legal para encontro com os amigos para bater um papo, bem localizado excelente"
0	"Tem 13 anos que não venho aqui em SP, fiz questão de conferir meu local de comida árabe preferido, servem uma iguaria chamada UZI ( massa folhada com recheio de arroz e cordeiro)"
1	"Simplesmente maravilhosa!"
1	"Bem servida, suculenta, tempero delicioso, sem defeitos."
0	"E o melhor, o preço."
0	"Parece inacreditável mas comemos uma peixada ao leite de coco e camarões acompanhada de pirao e arroz que servia bem três pessoas, em janeiro."
0	"Pagamos 40,00 reais."
1	"Sensacional."
1	"Bons ingredientes, variedade de combinações, é bem feita e tem bom preço."
0	"Sempre me salvam quando não quero cozinhar!!!"
1	"Uma delicia!!!."
0	"Única sugestão seria deixar menor quantidade de sushis na bandeja em que os garçons servem, pois quando chegam à mesa já estão com a alga murcha por estarem a algum tempo rodando pelo restaurante."
1	"Boa estrutura , peço justo, boa comida!"
1	"Praia linda, limpa, muito agradável!"
0	"Vale fazer uma caminha pela orla, tem falecias que garantem lindas fotos!"
0	"Pra quem gosta de comida gostosa sem pagar muito caro."
1	"Os pretzels são sempre frescos e bem preparados e o atendimento é muito bom."
0	"Excelente."
1	"Considero a melhor pizza de São Paulo, e dizem que a pizza em São Paulo é a melhor do mundo (concordo)."
0	"Essa é indiscutível."
1	"O espaço é agradavel, a comida é boa, mas o atendimento deixa a desejar."
1	"Os preços não são tão baixos."
1	"Cardápio criativo com  diferentes leituras da cozinha brasileira num lugar muito especial - bairro Santa Teresa , a Montmartre brasileira."
1	"ótima opção para curtir uma cerveja com os amigos ou família, ostras sempre frescas e varias outras opções de frutos do mar."
1	"Minha moqueca de arraia preferida."
1	"Uma pizza deliciosa... saladas deliciosas... atendimento excelente... e o valor muito honesto... sempre que vou a Curitiba, minha pizzaria preferida."
0	"Não deixe de visitar."
0	"Bem simples mas muito bem preparada."
0	"Não é tão apimentada quanto seria no Nepal mas é preparada por imigrantes."
1	"O Lugar fica numa galeria com amplo espaço na praça de alimentação exceto no horario de pico."
0	"Sugiro o prato do dia sempre."
1	"simplesmente AMO as comidas deste lugar, atenção especial para o “batuta de manzo”, que é uma espécie de tartar muito não muito “temperado” como de costume de outros restaurantes, que pra mim, é um ponto positivo."
0	"Belém carece de bons restaurantes, a preços honestos e onde seja possível conversar."
0	"O Midori é um deles."
1	"A comida é sempre boa e o serviço, excelente"
0	"Restaurante em que você monta o seu próprio prato de salada, escolhendo os ingredientes!"
1	"Os sucos são bons, mas um pouco doces demais."
1	"Preço bom!"
1	"Boa comida mas o serviço e lento e se pagar em dinheiro eles arredondam para mais devolvendo troco menor."
0	"Lamentável esta atitude"
0	"Loja localizada no Shopping Tucuruvi, compartilhando as mesas e cadeiras da praça de alimentação."
1	"Massa razoável, caseira."
1	"O atendimento é problemático, não porque o atendente seja ruim, mas deixam uma única pessoa para preparar a massa, entregar ao cliente e cobrar no caixa."
0	"Assim não dá mesmo."
1	"Há um fila e consequente demora no atendimento."
0	"Depois reclamam quando a freguesia vai embora... Não recomendo."
0	"Indico o Balada a qualquer hora do dia e da noite!"
0	"Tudo sempre muito bem feito e com muita qualidade."
1	"Ambiente agradável tanto na área interna, que é climatizada, quanto na ampla varanda."
0	"Considero outro ponto favorável é o fato deles estarem sempre introduzindo algo novo no cardápio!"
1	"Porções generosas, mas tem que saber pedir pq os preços são caros em alguns itens na proporção custo x benefício, por isso, veja o cardápio com calma e tire suas dúvidas sempre com os milhares de atendentes sempre a disposição no salão!"
1	"Tive uma experiência terrível com essa pizzaria."
0	"Solicitei uma pizza, para pagamento via cartão - o sinal da máquina era quase zero, e por isso, fiquei por 20 minutos aguardando o entregador, decidir o que ia fazer."
0	"Como a pizza já estava fria, e eu cansado, sugeri fazer transferência online."
0	"Assim, o fiz."
0	"No entanto, era sexta-feira, após as 22h."
0	"O sujeito que entregou a pizza me ligou as 22:40 reclamando que o dinheiro não cairia no mesmo dia!"
0	"Claro que não!!!!!!!"
0	"Somente no próximo dia útil!!!!"
0	"Como podem ser tão despreparados e limitados?"
0	"Nota zero!"
0	"R$ 74 por uma pizza que não vale R$ 40?"
0	"Não, nunca mais!!!"
0	"Realizem treinamento com seus funcionários!!!"
1	"Melhor opção no shopping para comidas e bebidas, ambiente muito bacana, bom atendimento e boa comida."
1	"Boa variedade de bebidas."
0	"O bar oferece muitas opções de refeições e petiscos."
1	"Os preços são razoáveis e as porções são muito bem servidas."
0	"Qualquer prato para duas pessoas é suficiente para alimentar três ou até quatro pessoas."
0	"Não deixe de experimentar o torresmo, o pastel de camarão e o arroz de brócolis."
1	"O Otto é um restaurante de referência na Tijuca se eu não me engano está fazendo 20 anos porém ele tem o preço acima do normal para a região, o preço não conduz com os pratos, mas tirando isso é excelente."
0	"Super recomendo."
1	"Frequento o restaurante desde que foi inaugurado e sempre foi impecável na qualidade dos pratos, decoração e atendimento."
1	"A decoração muito especial, que dá a impressão de estar entrando numa Villa Italiana é sempre impecável com suas maravilhosas hortências sempre impecáveis!"
1	"A qualidade dos produtos usados p/a execução dos pratos faz toda a diferença,sem contar o imperdível couvert com os pães de fabricação artezanal."
1	"Um ambiente de muito requinte, agradável, super culinária italiana que amo.. fui com um primo sempre vejo pois moro bem ao lado, achei tudo maravilhoso especial, sou apaixonada por restaurantes!"
0	"Toda vez que vou ao Rio, bato o ponto no Bar Luiz."
1	"Comida alemã excelente."
1	"Ótimo lugar para comer, ambiente bem agradável, atendimento bom, comida muito boa, preço razoável... Recomendo e ao lado tem uma ótima padaria"
1	"Excelente Hamburger."
1	"O buffet de saladas é bem variado."
1	"O sundae farofino é imperdível."
1	"É um restaurante de rede, mas a comida é muito boa."
1	"Bar com excelentes preços no Setor Oeste."
1	"Cerveja gelada, petiscos de bom preço."
1	"Local elegante e reservado."
1	"Bom atendimento e outros."
0	"Recomendo."
1	"Um restaurante muito bom, com boa comida, espaço, atendimento bom, bem localizado vale a pena ir, uma das boas opções de restaurante da região."
0	"O Latife nada mais é do que um fast food de comida árabe."
0	"Ainda sim, vale a pena experimentar os pratos lá servidos."
1	"A kafta, as esfihas e os kibes são muitos gostosos."
0	"Há um bufê de saladas, sempre fresquinhas."
1	"O preço é bem em conta."
0	"Vale a visita."
1	"Pizza rapida e em fatia."
0	"Tem várias filiais na cidade do RJ."
0	"Em ipanema na farme de amoedo tem outra."
1	"Restaurante maravilhoso, cardápio variado, com uma comida incrivelmente deliciosa."
1	"O preço é um pouco salgado, mas vale a pena pela qualidade que eles oferecem."
0	"Você não vai se arrepender."
1	"Tem uma localização ótima."
1	"É um kilão de qualidade, local climatizado, bem limpo, uma excelente variedades de pratos quevão do churrasco a caldeiradas e maniçoba (comida típica paraense) variedade de sobremesas, é muito frequentado pela classe média da cidade, então as vezes fica difícil ter boas mesas."
0	"eu recomendo"
1	"Excelente comida italiana com um atendimento excelente... Os proprietários preparam e servem as refeições com muita simpatia e cordialidade."
0	"Vale a pena conferir"
0	""Pratos e sobremesas tipicamente italianas feitas pelo chef Renato Ialenti, que mistura sabores, ingredientes e sofisticação às receitas sem perder a autenticidade da cozinha contadina""
1	"Local super agradável, funcionários atenciosos com atendimento de primeira qualidade."
1	"Cardápio variado com destaque para as carnes."
0	"Vale muito ir conhecer, porém vá com bolso preparado."
0	"Uma"
1	"A comida é deliciosa."
0	"tem sashimi de polvo que não tinha visto em Rio Branco!"
1	"O local só é pequeno."
1	"Comida simples e barata, para quem esta de passagem pelo centro de João Pessoa, eu recomendo."
1	"O local é organizado e limpo, tudo simples."
1	"Preço bom, com comida de altíssima qualidade, com espaço agradável e bem localizado."
1	"Atendimento de qualidade!!!"
0	"Recomento."
1	"Comida excelente e bastante variada."
1	"Atendimento da recpcionista da porta ruim."
1	"Funcionários despreparados."
1	"Uma das vezes em que fui ao restaurante, chegamos após uma caminhada na praia com roupa de ginastica e fomos barrados para entrar e ainda estávamos com bebe de 3 meses no colo. Concluindo: o restaurante é ótimo mas perde por despreparo de seus recepcionistas."
0	"Detalhe que estava um calor de 42 graus neste dia e o restaurante se localiza proximo a praia."
0	"Então fui ao restaurante em frente que deixou minha familia entrar sem frescura."
0	"Favor trocar as recepcionnistas para não perderem mais clientes."
1	"Os bombons já foram melhores, mais bem recheados."
0	"Como tudo do grupo Fasano não fiquei decepcionado em nenhum momento."
1	"Atendimento ótimo, comida maravilhosa e o preço não é astronômico."
1	"Excelente restaurante para saborear um lamen muito parecido com o do Japão."
1	"Lamen com diversas opções de caldos e ingredientes, atendimento simpático e fácil acesso, próximo a Avenida Paulista."
1	"Gosto muito do burguer king pelo aspecto menos fast food...gosto de churrasco e a bebida à vontade...excelente pedida..."
1	"Comemos o bolinho de feijoada que estava maravilhoso."
1	"Caipirinha de tangerina muito bem feita."
1	"Camarão na Moranga gostoso, mais poderia vir mais quente e com menos coentro."
1	"A comida é boa e o cardápio varia todos os dias da semana."
0	"Mas, se você tem problemas de pressão alta não vá!"
0	"O cozinheiro parece apreciar muito o sal, que ele utiliza generosamente nos pratos e molhos de salada."
0	"Evite os pratos com molhos e moquecas, são sempre os mais salgados, lamentavelmente."
1	"O lugar poderia ser mas confortável, as mesas  comunitárias são pequenas e apertadas."
0	"Não entendo porque o proprietário não expandiu na mesma galeria para trazer mais conforto para os clientes."
1	"As moças que atendem são eficientes e quase sempre simpáticas."
1	"Um ambiente lindo com vista incrível da cidade."
1	"A comida é muito boa, com ingredientes de qualidade e combinações bem contemporâneas."
1	"O drink beijo de jambu é equilibrado e muito gostoso."
0	"Só foi um pouco chato achar um Uber para subir até lá."
1	"Os pratos não são baratos mas é muito compreensível pela qualidade."
1	"Atendimento muito bom tb!"
0	"Bom, durante um jantar de negócios fomos convidados ao local que realmente se diferencia dos demais da cidade."
1	"Bastante sofisticado, com um ambiente de requinte."
0	"Mas, nessa tentativa de ser tão requintado, escapam alguns detalhes que prejudicam o local."
0	"Ou ao menos prejudicaram a primeira impressão."
0	"A entrada, com pastas, frios e pães, ficou servida por cerca de uma hora até que os pratos principais ficassem prontos."
0	"Por mais que possa ser uma 'tática' para que os negócios pudessem ser tratados durante esse meio tempo, isso não contribui."
1	"O prato principal estava muito bom, com filé, salmão e os cortes de porcos da região."
1	"O atendimento também estava bom, com muitos garçons."
1	"E a música ambiente bastante agradável."
1	"Comida excelente!"
1	"Ambiente super gostoso!"
0	"Self service, mas tudo fresquinho e gostoso,só chegue mais cedo pois a casa e lotada!"
1	"Lugar TOP, comida boa, atendimento muito bom!"
0	"Como o meu aniversário é o do meu pai são muito próximos, decidimos fazer uma única celebração, visto que não somos mais tão jovens assim."
0	"Escolhemos o CT por ser perto de casa e eu ainda não tinha provado a cozinha do Claude."
0	"Pedimos o tartar, que veio ok, acompanhado de batatas mal cozidas."
0	"A cerveja veio quente."
0	"Pedimos hambúrguer, não tinha... Não condiz com o nível em que o restaurante pretende se enquadrar."
0	"Muito fraco."
0	"Não recomendo"
1	"O restaurante é super bonito e bem descontraído, o atendimento é bem atencioso, as refeições e os lanches são super caprichados."
1	"O restaurante é muito simples, mas a carne de sol oferecida é espetacular."
1	"Os acompanhamentos são maravilhosos."
0	"Vale a pena conferir ..,"
1	"É um dos melhores lugares no Rio de Janeiro, fica sempre a dúvida, é bar ou restaurante."
1	"Indico pedir a carne assada com gnocchi a quatro queijos, vale a pena, muito bom."
0	"O melhor lugar em Aracaju para se comer frutos do mar, com certeza !"
1	"Todos os pratos são muito bem elaborados e saborosos com um toque de requinte !"
1	"Fui com a minha familia nesse excelente restaurante."
1	"Ótimo ambiente e atendimento."
0	"Pedimos 3 carnes, o gran chorizo, o bife pampeano e o ojo del bife ancho!"
0	"Como acompanhamento pedimos o arroz biro biro."
1	"O grande sucesso foi o gran chorizo!"
0	"Excelente!"
1	"Foi tudo muito gostoso!"
0	"Com certeza retornaremos!"
1	"Gostei muito do lugar, principalmente pelas sombras das árvores que amenizam o clima quente de porto velho."
1	"Cerveja bem gelada"
1	"Bons sanduíches mas nada diferentes do trivial, nas ultimas visitas achei a maionese da casa muito oleosa e sem tempero."
1	"Restaurante muito bom."
1	"Ambiente aberto e bem arborizado, sendo muito agradável."
1	"Comida de qualidade muito boa, drinks bacanas."
1	"Preço elevado, mas vale a pena visitar e desfrutar da vista."
1	"adoro os petiscos do bar do Alves,  mais os garçons são ruins,  o pedido demora muito."
1	"a comida é  saborosa,  o pastel tem uma massa muito boa,  tudo tem boa qualidade."
1	"é  fácil para estacionar e o restaurante é  bem ventilado."
1	"o banheiro é  limpo e as cadeiras são confortáveis."
1	"Apesar de gostoso, bom ambiente e funcionários educados, não vale o preço que cobra!"
0	"Um prato sai por volta de 140 reais e não vem bem servido!"
1	"Lugar lotado , fila de espera, mas anda rápido."
1	"Bom atendimento, cardápio gigantesco."
1	"Comi um prato de peixe, era gostoso, nada excepcional."
0	"Eu particularmente prefiro locais menores e mais personalizados,"
0	"É um restaurante que mantêm o padrão da rede."
0	"Temos a vantagem de evitar surpresas e a mesma desvantagem.. Não encontraremos um sabor "especial""
1	"A comida é simples e boa, o preço é bom."
1	"O ambiente é bem simples, nada sofisticado e o atendimento foi razoável."
1	"Vale o valor pago!"
0	"Fomos a esta casa depois de muitas vezes ir e voltar ao Uniko, na Rua da Quitanda, Centro do Rio, sendo esta La Terrazza um "anexo distante" da primeira."
1	"Cardápio bem variado, com opções de comida japonesa tanto tradicional como algumas opções gourmet, além de chapas."
1	"Atendimento ágil."
1	"Preços médios para alto."
0	"Oferecem desenhos para crianças."
1	"Fácil estacionamento."
1	"Viemos num jantar no domingo, o ótimo atendimento já começa ao chegar no restaurante, com os rapazes cuidando do carro."
0	"Sentamos e nos foi explicado como funciona a casa."
1	"Proposta interessante, carnes de primeiríssima qualidade e acompanhamentos de muita qualidade."
0	"A coisa mais surpreendente foi o salmão ao molho de maracujá e o arroz piemonteses, tudo surpreendentemente gostoso."
1	"Os atendimentos dos rapazes é ótimo!"
0	"Vale muito a visita."
1	"Melhor pizza do Extremo Sul."
0	"Bem recheada e com ingredientes de qualidade."
0	"Massa aberta na hora."
0	"Não tem forno à lenha, o que não interfere em muito na qualidade."
0	"Sempre peço a tradicional, nunca comi as de cone."
1	"Ambiente bem legal de se comer no local."
0	"Ótimo."
1	"Típico restaurante indiano, fomos com um casal de amigos, adoramos o ambiente que é bem familiar e agradável."
1	"A comida deliciosa com boas opções."
1	"Atendimento rápido e prático."
0	"Iniciamos com a entrada Chutneys, que são 3 molhos da casa (hortelã, tamarindo e papaia) acompanhado com o pão indiano masala papad."
0	"Depois pedimos porção de arroz com açafrão Kesari Pullao, porção de frango Murg Masala e porção de carneiro Gosht Masala."
0	"Bebemos uma cerveja bem gelada."
0	"Todos os pratos pedimos levemente apimentados e eles trouxeram pimenta a parte."
0	"Estilo natural e vegetariano."
0	"O restaurante Peixe Vivo, apesar do nome não tem peixe vivo, porém todos os produtos, ficam em expositor refrigerado, de vidro, onde você pode escolher o que quer comer."
1	"Ótimas carnes, um buffet impecável e um atendimento excelente."
1	"Diferente do esperado para um domingo, enormes filas, chegamos e sentamos na varanda."
0	"Os pratos tem os valores médios de R$50,00."
1	"Os pedidos vieram rápido, estavam gostosos e nos pontos solicitados."
0	"Como críticas ficam a proximidade das mesas(menos de 20cm), impossibilitando qualquer tipo de privacidade, e os ridiculos R$7,50(por pessoa) do couvert, para 1(um) pedaço de pão e uma bolinha de manteiga."
1	"O Bawarchi é um restaurante indiano legítimo, sendo até seus atendentes naturais do país."
1	"A comida é simples, com poucas opções durante a semana, mas muito saborosa."
1	"E o preço é muito baixo, cerca de 20 reais o quilo."
1	"Ambiente agradável, atendimento excelente, preço compatível."
1	"Ambiente maravilhoso, música agradável, comida impecável e um garçom maravilhoso: Roberto, vc foi demais!!!"
1	"Boa opcao, almoco e jantar."
0	"Vou mais no almoco e aprecio a variedade principalmente das massas."
1	"Spaghetti com peperonccino, apimentado na medida certa, muito gostoso."
0	"Localizado na ilha da gigoia, na barra da tijuca, tem acesso apenas por barco."
0	"A ilha fica escondida atrás de avenidas e prédios."
0	"É preciso indicação."
0	"O restaurante tem uma ornamentação com mobiliário antigo, mas confortável, numa área que parece ser o quintal da casa sob uma antiga e frondosa castanheira, cujo fruto é conhecido no nordeste como coração de negro."
1	"A decoração é de bom gosto e pitoresca."
1	"O atendimento foi simpático."
1	"A comida muito boa."
1	"Almoçamos um grelhado de peixe, lula e polvo, que estava saboroso."
1	"Ingredientes frescos."
1	"Não é barato, mas valeu a visita."
0	"Comi um peixe podre no dia dos pais, parecia, pela minha expressão facial de repúdio ao sabor, que tinham injetado-me botox."
0	"O mais cômico foi ouvir de uma funcionária que não estava estragado (ela não provou, claro)."
0	"Decerto ela deveria estar correta e minhas dezenas de milhares de células gustativas, com alta apuração para detecção de coisas podres, todas erradas."
0	"Praticamente tive que implorar para que cancelassem o valor do meu prato na minha comanda, mas se não cancelassem não faria tanta diferença, porque faria bom proveito usando como isca pra caçar urubu."
0	"Sem falar na coca que demorou mais de 20 minutos para chegar na mesa,"
1	"Ambiente gostoso  , decoração e espaço belissimo , limpeza muito boa , atendimento nota 10 porem a  pizza deixa muito a desejar com relação a massa e sabor ."
1	"O restaurante frango leste é um simples, já antigo e com a cerveja gelada, tem uma comida de qualidade, destaque para o frango desossado e a paçoca."
1	"Lugar de fácil acesso perto do aeroporto, tem uma variedade muito grande de sushis e bebidas, pena que não tem sashimi de atum nem polvo, mas vale muita a pena é uma ótima opção em refeição e o custo beneficio é ótimo pois lá tem sempre promoção."
1	"Tudo feito na hora e tudo muito gostoso!"
1	"Ótima experiência gastronômica; destaque para a feijoada, o ceviche de caju e o arroz de chouriço."
1	"Ótimo atendimento e boa localização."
1	"Pesam contra o preço alto, as poucas opções de suco e a decoração muito despojada."
1	"Mesmo assim, no geral, uma ótima opção."
1	"A barraca estava lotada, e o atendimento demorado... mas o caranguejo estava excelente assim como a bolinha de peixe e as caipirinhas!!"
1	"O Vamo é um achado!"
1	"Uma união de boa comida, bom preço e bom atendimento."
0	"Já fui algumas vezes, em diversas ocasiões, com grupos grandes, pequenos e mesmo em um jantar a dois."
1	"O Atendimento é sempre bom."
1	"Saborosa e calorosa porque a Yeran e o Agop vão em todas as mesas ver se estamos gostando muito!"
1	"Além de tudo ser ótimo tem um molho de hortelã imperdível que fica acima do servidor, não percam!"
0	"Tomar nota que este hotel serve uma grande refeição de tamanho para começar por encomenda uma refeição e partilhar entre duas pessoas."
1	"Lugar descontraído para levar os amigos,bater papo, petiscar e tomar um chopinho."
1	"Os preços são bons e fomos muito bem atendidas."
1	"Lugar agradável, seguro, com estacionamento privativo, música ao vivo, um mar de bolinhas pra criançada, e os melhores food trucks e lá tb tem os melhores churros que já comi!!"
0	"Frequento desde que abriu."
1	"No começo  quando eu comecei a comprar as pizzas na Carginalli era usado material de qualidade era muito bom."
1	"Só que passou a vir a pizza além  de queimada com pouco recheio e a qualidade do material péssima."
1	"É um dos mais antigos restaurantes italianos da cidade, a comida é muito boa, tem um rotoloni maravilhoso!"
1	"Não gostamos de ir durante o fim de semana devido a acústica, geralmete é lotado e fica muito barulhento."
0	"Não é um restaurante que turista frequente, mas vale a pena!"
1	"Excelente custo beneficio."
1	"É um restaurante coma a vontade com clima familiar, super limpo, comida boa e variada e otimo atendimento."
0	"recomendo!"
1	"Lugar especialmente agradável, atendimento excepcional e a comida deliciosa."
1	"Ótima apresentação dos pratos."
1	"Carnes Angus muito saborosas e todo tipo de acompanhamentos a um preço razoável."
0	"Aberto direto até 22 hs."
0	"Recomendo."
1	"O serviço do Bob's é quase sempre confuso e demorado."
0	"Por isso, se quiser realmente comer lá, vá quando estiver começando a ficar com fome."
1	"Restaurante japonês excelente."
0	"Diversidade nos tipos de peixes e pratos quentes."
1	"Preço justo e sobremesa já incluída no valor."
0	"Um fast food de comida japonesa que cumpre o que promete."
1	"Preço justo, serviço funcional e alimentos bem preparados e apresentados!"
0	"Fui no bife de chorizo e não me arrependi!"
1	"Carne saborosíssima com belos acompanhamentos também."
1	"Garçom atencioso e preço justo pelo que oferece."
0	"Recomendo."
1	"Local aparentemente simples e pequeno mas super agradável e acolhedor."
1	"Cardápio bem enxuto, mas com itens que resolvem e agradam."
1	"Preço justo e atendimento excelente."
0	"Localizado no Shopping Vila Olímpia, este restaurante é especializado em carnes, melhor dizendo, em burguers."
1	"E seus hambúrgueres são realmente caprichados, com nível de gordura menor que a maioria e com um pão especial, mais crocante, que vai muito bem com a carne e complementos."
0	"Há vários tipos de carnes e de tamanhos, vale experimentar."
0	"Outros pratos, oferecem massas, e um Wierner Schnietzel com maionese da casa,  muito bom."
0	"Aliás, tudo é feito em casa, maionese, linguiças, pão."
1	"A carta de vinhos é enxuta, mas adequada, e com preços bem razoáveis."
0	"A conferir."
0	"O movimento na porta chamou atenção!"